379497-P20-S8-internal volume-barrier25.43mm-mandrel30.50mm.SLDPRT
Height (mm), Volume (uL)
0,8.56355589771333E-06
0.25,0.02267946758047
0.5,4.79979154393713E-02
0.75,7.61005842285484E-02
1,0.107132714599846
1.25,0.141239547205109
1.5,0.178566322696182
1.75,0.219258281724909
2,0.263460664943135
2.25,0.311318713002705
2.5,0.362977666555463
2.75,0.418582766253254
3,0.478279252747923
3.25,0.542212366691314
3.5,0.610527348735272
3.75,0.68336943953164
4,0.760883879732266
4.25,0.843215909988993
4.5,0.930510770953665
4.75,1.02291370327813
5,1.12056994761423
5.25,1.2236247446138
5.5,1.3322233349287
5.75,1.44651095921077
6,1.56663285811186
6.25,1.6927342722838
6.5,1.82496044237844
6.75,1.96345660904763
7,2.10836801294321
7.25,2.25983989471703
7.5,2.41801749502093
7.75,2.58304605450676
8,2.75507081382636
8.25,2.93423701363157
8.5,3.12068989457424
8.75,3.31457469730622
9,3.51603666247934
9.25,3.72522103074546
9.5,3.94227304275642
9.75,4.16733793916406
10,4.40056096062023
10.25,4.64208734777677
10.5,4.89206234128553
10.75,5.15063118179834
11,5.41793910996707
11.25,5.69413136644355
11.5,5.97935319187962
11.75,6.27374982692713
12,6.57746651223793
12.25,6.89064848846386
12.5,7.21344099625676
12.75,7.54598927626847
13,7.88843856915085
13.25,8.24093411555574
13.5,8.60362115613499
13.75,8.97664493154043
14,9.36015068242391
14.25,9.75428364943728
14.5,10.1591890732324
14.75,10.5750121944611
15,11.0018982537752
15.25,11.4399924918265
15.5,11.889440149267
15.75,12.3503864667484
16,12.8229766849226
16.25,13.3073560444415
16.5,13.8036697859569
16.75,14.3120631501206
17,14.8326813775844
17.25,15.3656697090003
17.5,15.9111733850201
17.75,16.4693376462955
18,17.0403077334786
18.25,17.624228887221
18.5,18.2212463481747
18.75,18.8315053569914
19,19.4551511543231
19.25,20.0923289808216
19.5,20.7431840771387
19.75,21.4078616839263
20,22.0865070418362
20.25,22.7792653915202
20.5,23.4866189726198
20.75,24.2406452355602
21,25.0645305088566
21.25,25.9613696897907
21.5,26.9342576756443
21.75,27.9862893636992
22,29.120559651237
22.25,30.3401634355394
22.5,31.6481956138883
22.75,33.0477510835654
23,34.5419247418523
23.25,36.1338114860308
23.5,37.8265062133827
23.75,39.6231038211898
24,41.5266992067336
24.25,43.540387267296
24.5,45.6672629001586
24.75,47.9104210026033
25,50.2729564719118
25.25,52.7579642053658
25.5,55.3685391002469
25.75,58.1077760538371
26,60.978769963418
26.25,63.9846157262712
26.5,67.1284082396787
26.75,70.4099088303651
27,73.7402151978389
27.25,77.0785640042613
27.5,80.4249649488678
27.75,83.7794277308934
28,87.1419620495737
28.25,90.5125776041437
28.5,93.891284093839
28.75,97.2780912178947
29,100.673008675546
29.25,104.076046166028
29.5,107.252509672941
29.75,110.179936870815
30,113.223749852941
30.25,116.596690143056
30.5,119.99133762944
30.75,123.385985115824
31,126.780632602208
31.25,130.175280088592
31.5,133.569927574976
31.75,136.96457506136
32,140.359222547744
32.25,143.753870034128
32.5,147.148517520513
32.75,150.543165006897
33,153.937812493281
33.25,157.332459979665
33.5,159.716524845778
33.75,159.716524845778
34,159.716524845778
34.25,159.716524845778
34.5,159.716524845778
34.75,159.716524845778
35,159.716524845778
35.25,159.716524845778
35.5,159.716524845778
35.75,159.716524845778
36,159.716524845778
36.25,159.716524845778
36.5,159.716524845778
36.75,159.716524845778
37,159.716524845778
37.25,159.716524845778
37.5,159.716524845778
37.75,159.716524845778
38,159.716524845778
38.25,159.716524845778
