989330-P50-internal volume-barrier38.53mm-mandrel43.61mm.SLDPRT,
Height (mm), Volume (uL)
0,2.03E-05
0.25,5.16E-02
0.5,0.104974748
0.75,0.160234773
1,0.217385645
1.25,0.276459172
1.5,0.337487162
1.75,0.400501423
2,0.465533766
2.25,0.532615997
2.5,0.601779927
2.75,0.673057363
3,0.746480114
3.25,0.822079988
3.5,0.899888795
3.75,0.979938343
4,1.062260441
4.25,1.146886897
4.5,1.233849519
4.75,1.323180117
5,1.414910499
5.25,1.509072474
5.5,1.60569785
5.75,1.704818437
6,1.806466041
6.25,1.910672473
6.5,2.017469541
6.75,2.126889053
7,2.238962819
7.25,2.353722646
7.5,2.471200343
7.75,2.59142772
8,2.714436584
8.25,2.840258744
8.5,2.968926009
8.75,3.100470188
9,3.234923088
9.25,3.37231652
9.5,3.51268229
9.75,3.656052209
10,3.802458084
10.25,3.951931725
10.5,4.104504939
10.75,4.260209536
11,4.419077324
11.25,4.581140112
11.5,4.746429708
11.75,4.914977921
12,5.086816559
12.25,5.261977432
12.5,5.440492348
12.75,5.622392122
13,5.807675576
13.25,5.996357813
13.5,6.188469722
13.75,6.384042194
14,6.583106119
14.25,6.785692389
14.5,6.991831895
14.75,7.201555525
15,7.414894172
15.25,7.631878727
15.5,7.852540078
15.75,8.076909118
16,8.305016736
16.25,8.536893824
16.5,8.772571273
16.75,9.012079971
17,9.255450812
17.25,9.502714684
17.5,9.753902478
17.75,10.00904509
18,10.2681734
18.25,10.5313183
18.5,10.7985107
18.75,11.06978146
19,11.3451615
19.25,11.62468169
19.5,11.90837293
19.75,12.1962661
20,12.48839211
20.25,12.78478183
20.5,13.08546617
20.75,13.390476
21,13.69984223
21.25,14.01359574
21.5,14.33176742
21.75,14.65438817
22,14.98148887
22.25,15.31310041
22.5,15.64925369
22.75,15.9899796
23,16.33530902
23.25,16.68527285
23.5,17.03990198
23.75,17.39922729
24,17.76327968
24.25,18.13209005
24.5,18.50568927
24.75,18.88410825
25,19.26737786
25.25,19.65552901
25.5,20.04859258
25.75,20.44659947
26,20.84958056
26.25,21.25756674
26.5,21.67058891
26.75,22.08867796
27,22.51186477
27.25,22.94018024
27.5,23.37365525
27.75,23.81232071
28,24.25620749
28.25,24.7053465
28.5,25.15976861
28.75,25.61950473
29,26.08458573
29.25,26.55504252
29.5,27.03090598
29.75,27.51220701
30,27.99897649
30.25,28.49124531
30.5,28.98904437
30.75,29.49240456
31,30.00135676
31.25,30.51593187
31.5,31.03616078
31.75,31.56207438
32,32.09370356
32.25,32.6310792
32.5,33.17423221
32.75,33.72319347
33,34.27799386
33.25,34.8386643
33.5,35.40523565
33.75,35.97773882
34,36.55620469
34.25,37.14066416
34.5,37.73114811
34.75,38.32768744
35,38.93031304
35.25,39.54091977
35.5,40.17843551
35.75,40.87283259
36,41.65911842
36.25,42.57946926
36.5,43.66516354
36.75,44.93075626
37,46.39003852
37.25,48.05680143
37.5,49.94483609
37.75,52.0679336
38,54.43933633
38.25,57.0458131
38.5,59.83494138
38.75,62.74897049
39,65.72854832
39.25,68.72111619
39.5,71.71369129
39.75,74.70626639
40,77.69884149
40.25,80.69141659
40.5,83.68399169
40.75,86.6765668
41,89.6691419
41.25,92.661717
41.5,95.6542921
41.75,98.6468672
42,101.6394423
42.25,104.6320174
42.5,107.6624535
42.75,110.8866058
43,114.2563677
43.25,117.6303099
43.5,121.004252
43.75,124.3781942
44,127.7521363
44.25,131.1260785
44.5,134.5000206
44.75,137.8739628
45,141.2479049
45.25,144.6218471
45.5,147.9957892
45.75,151.3697314
46,154.7436736
46.25,158.1176157
46.5,161.4915579
46.75,164.8728103
47,168.3106122
47.25,171.8363671
47.5,175.4521396
47.75,179.1590642
48,182.9582758
48.25,186.850909
48.5,190.8380985
48.75,194.9209792
49,199.0906306
49.25,203.2881671
49.5,207.4391619
49.75,211.4776061
50,215.4250809
50.25,219.3492193
50.5,223.273162
50.75,227.2029489
51,231.202535
9999,9999
