B01099-P250WB-internal volume-barrier38.61mm-mandrel43.69mm.SLDPRT
Height (mm), Volume (uL)
0,1.58903774247707E-04
0.25,0.399192006794285
0.5,0.802263204777449
0.75,1.20923235118706
1,1.62011820326074
1.25,2.03493951823608
1.5,2.45371505335071
1.75,2.87646356584222
2,3.30320381294824
2.25,3.73395455190636
2.5,4.16873453995421
2.75,4.60756253432938
3,5.05045729226949
3.25,5.49743757101215
3.5,5.94852212779497
3.75,6.40372971985554
4,6.86307910443151
4.25,7.32658903876046
4.5,7.79427828008
4.75,8.26616558562776
5,8.74226971264133
5.25,9.22260941835833
5.5,9.70720346001636
5.75,10.196070594853
6,10.689229580106
6.25,11.1866991730128
6.5,11.6884981308111
6.75,12.1946452107384
7,12.7051591700325
7.25,13.2200587659308
7.5,13.7393627556711
7.75,14.2630898964909
8,14.7912589456278
8.25,15.3238886603195
8.5,15.8609977978035
8.75,16.4026051153175
9,16.9487293700991
9.25,17.4993893193858
9.5,18.0546037204154
9.75,18.6143913304253
10,19.1787709066533
10.25,19.7477612063368
10.5,20.3213809867137
10.75,20.8996490050213
11,21.4825840184974
11.25,22.0702047843796
11.5,22.6625300599054
11.75,23.2595786023125
12,23.8613691688385
12.25,24.467920516721
12.5,25.0792514031976
12.75,25.6953805855059
13,26.3163268208835
13.25,26.9421088665681
13.5,27.5727454797973
13.75,28.2082554178086
14,28.8486574378396
14.25,29.4939702971281
14.5,30.1442127529115
14.75,30.7994035624275
15,31.4595614829138
15.25,32.1247052716078
15.5,32.7948536857473
15.75,33.4700254825698
16,34.150239419313
16.25,34.8355142532144
16.5,35.5258687415116
16.75,36.2213216414424
17,36.9218917102442
17.25,37.6275977051548
17.5,38.3384583834116
17.75,39.0544925022523
18,39.7757188189146
18.25,40.502156090636
18.5,41.2338230746542
18.75,41.9707385282067
19,42.7129212085311
19.25,43.4603898728652
19.5,44.2131632784464
19.75,44.9712601825124
20,45.7346993423008
20.25,46.5034995150492
20.5,47.2776794579953
20.75,48.0572579283766
21,48.8422536834307
21.25,49.6326854803953
21.5,50.4285720765079
21.75,51.2299322290062
22,52.0367846951277
22.25,52.8491482321102
22.5,53.6670415971912
22.75,54.4904835476082
23,55.319492840599
23.25,56.1540882334012
23.5,56.9942884832522
23.75,57.8401123473898
24,58.6926374146339
24.25,59.5628001612276
24.5,60.4673635850789
24.75,61.4242722220969
25,62.4522198891655
25.25,63.5607961891728
25.5,64.7531592228585
25.75,66.03236136205
26,67.4014549785744
26.25,68.8634924442592
26.5,70.4215261309315
26.75,72.0786084104187
27,73.8377916545479
27.25,75.7021282351465
27.5,77.6746705240418
27.75,79.758470893061
28,81.9565817140315
28.25,84.2720553587804
28.5,86.707944199135
28.75,89.2673006069227
29,91.9531769539706
29.25,94.7647540355446
29.5,97.6806161038917
29.75,100.671768567876
30,103.708404044237
30.25,106.760875202329
30.5,109.813978345503
30.75,112.867081488678
31,115.920184631852
31.25,118.973287775027
31.5,122.026390918201
31.75,125.079494061376
32,128.13259720455
32.25,131.185700347724
32.5,134.238803490899
32.75,137.291906634073
33,140.345009777248
33.25,143.398112920422
33.5,146.451216063597
33.75,149.504319206771
34,152.557422349945
34.25,155.61052549312
34.5,158.663628636294
34.75,161.716731779469
35,164.769834922643
35.25,167.822938065818
35.5,170.876041208992
35.75,173.929144352166
36,176.982247495341
36.25,180.035350638515
36.5,183.08845378169
36.75,186.141556924864
37,189.194660068039
37.25,192.247763211213
37.5,195.300866354387
37.75,198.353969497562
38,201.407072640736
38.25,204.460175783911
38.5,207.513278927085
38.75,210.56638207026
39,213.619485213434
39.25,216.672588356609
39.5,219.725691499783
39.75,222.778794642957
40,225.831897786132
40.25,228.885000929306
40.5,231.938104072481
40.75,234.991207215655
41,238.04431035883
41.25,241.097413502004
41.5,244.150516645179
41.75,247.203619788353
42,250.256722931527
42.25,253.309826074702
42.5,256.362987948172
42.75,259.531629653807
43,262.89759193509
43.25,266.292239421474
43.5,269.686886907858
43.75,273.081534394242
44,276.476181880626
44.25,279.87082936701
44.5,283.265476853394
44.75,286.660124339778
45,290.054771826162
45.25,293.449419312546
45.5,296.84406679893
45.75,300.238714285314
46,303.633361771698
46.25,307.028009258082
46.5,310.422656744466
46.75,313.81730423085
47,317.211951717234
47.25,320.606599203618
47.5,324.010629849013
47.75,327.478551937808
48,331.070171665026
48.25,334.800703714453
48.5,338.672784056942
48.75,342.688834459976
49,346.826882388407
49.25,351.018104727829
49.5,355.188123676471
49.75,359.263910064658
50,363.231440312385
50.25,367.157473815715
50.5,371.081416533846
50.75,375.006459354495
51,378.974437993487
51.25,383.081914484748
