B21690 - Total External Volume Model.SLDPR,
Height (mm), Volume (µL)
0,1.47E-05
0.25,0.11047064
0.5,0.252501072
0.75,0.403967379
1,0.564802842
1.25,0.735114441
1.5,0.915037767
1.75,1.104773811
2,1.304642543
2.25,1.515101111
2.5,1.736068403
2.75,1.968205713
3,2.212402621
3.25,2.467967498
3.5,2.736315836
3.75,3.018793995
4,3.315876835
4.25,3.628003934
4.5,3.955574288
4.75,4.298984117
5,4.658629807
5.25,5.034907883
5.5,5.428214997
5.75,5.838947916
6,6.267503504
6.25,6.714269171
6.5,7.17434646
6.75,7.642730682
7,8.119486814
7.25,8.604680193
7.5,9.098376162
7.75,9.600640064
8,10.11153725
8.25,10.63113307
8.5,11.15949288
8.75,11.69668205
9,12.24276592
9.25,12.79780988
9.5,13.36187928
9.75,13.93503949
10,14.51735589
10.25,15.10889386
10.5,15.70971877
10.75,16.31989601
11,16.93949088
11.25,17.56856891
11.5,18.20719542
11.75,18.85543575
12,19.51335535
12.25,20.18101958
12.5,20.85849381
12.75,21.5458434
13,22.2431339
13.25,22.95043076
13.5,23.66779921
13.75,24.39530406
14,25.13301151
14.25,25.88098713
14.5,26.63929602
14.75,27.40800358
15,28.18717521
15.25,28.9768764
15.5,29.77717219
15.75,30.58812844
16,31.40981359
16.25,32.24228673
16.5,33.08561641
16.75,33.93986813
17,34.80510732
17.25,35.68139205
17.5,36.56880057
17.75,37.46739046
18,38.37723152
18.25,39.29838685
18.5,40.23092182
18.75,41.17490185
19,42.13039233
19.25,43.09745865
19.5,44.07616619
19.75,45.06658037
20,46.06876483
20.25,47.08278632
20.5,48.10871563
20.75,49.14660803
21,50.19653613
21.25,51.2585642
21.5,52.33275686
21.75,53.41917952
22,54.51789821
22.25,55.62896337
22.5,56.75246978
22.75,57.8884649
23,59.03701134
23.25,60.19818531
23.5,61.37204699
23.75,62.55866161
24,63.75809558
24.25,64.97043861
24.5,66.19579261
24.75,67.43407795
25,68.68545024
25.25,69.94996867
25.5,71.22769677
25.75,72.51870385
26,73.82305181
26.25,75.14080923
26.5,76.47203996
26.75,77.81680977
27,79.17498319
27.25,80.54702382
27.5,81.93279916
27.75,83.3323752
28,84.74581717
28.25,86.17318286
28.5,87.614549
28.75,89.06992727
29,90.53948709
29.25,92.02324002
29.5,93.52125147
29.75,95.03358691
30,96.56031176
30.25,98.10149147
30.5,99.65719148
30.75,101.2276474
31,102.81251
31.25,104.4122365
31.5,106.026671
31.75,107.6558763
32,109.3000703
32.25,110.9592329
32.5,112.6334487
32.75,114.3227828
33,116.0272822
33.25,117.7470215
33.5,119.4820565
33.75,121.232472
34,122.9983168
34.25,124.7796716
34.5,126.5766591
34.75,128.3892117
35,130.2174622
35.25,132.1039143
35.5,134.0176343
35.75,135.9394903
36,137.8694994
36.25,139.8076791
36.5,141.7540465
36.75,143.7086188
37,145.6714134
37.25,147.6424475
37.5,149.6217384
37.75,151.6093033
38,153.6051594
38.25,155.6093241
38.5,157.6218146
38.75,159.6426481
39,161.6718419
39.25,163.7094133
39.5,165.7553796
39.75,167.8097579
40,169.8725655
40.25,171.9438197
40.5,174.0235378
40.75,176.111737
41,178.2084346
41.25,180.3136478
41.5,182.4273939
41.75,184.5496901
42,186.6805537
42.25,188.8289408
42.5,191.5679632
42.75,194.4079289
43,197.2653439
43.25,200.1402405
43.5,203.0326511
43.75,205.9426079
44,208.8701432
44.25,211.8152893
44.5,214.7780786
44.75,217.7585432
45,220.8054697
45.25,223.9852133
45.5,227.2647329
45.75,230.5599193
46,233.8691608
46.25,237.1924875
46.5,240.5299292
46.75,243.881516
47,247.2472776
47.25,250.627244
47.5,254.0214451
47.75,257.4299109
48,260.8526712
48.25,264.2897559
48.5,267.741195
48.75,271.2070183
49,274.6872558
49.25,278.1819375
49.5,281.6910931
49.75,285.2147526
50,285.6950924
